NS ID,Start Time,End Time,On Time [s],Duration [s],Livetime [%],X [S/C],Y [S/C]
"nu20102002001","01-Sep-15 03:54:48","01-Sep-15 04:47:48",2451.00,38.7731,1.58193,1124.58,-306.034
"nu20102003001","01-Sep-15 08:38:21","01-Sep-15 09:38:02",3577.00,61.6034,1.72221,1134.42,-296.202
"nu20102004001","01-Sep-15 10:15:06","01-Sep-15 11:14:47",3582.00,68.8971,1.92343,1144.25,-306.034
"nu20102005001","02-Sep-15 02:22:31","02-Sep-15 03:22:13",3546.00,65.8469,1.85693,1131.96,-313.409
"nu20102006001","02-Sep-15 03:59:16","02-Sep-15 04:58:57",3578.00,90.3529,2.52524,1144.25,-306.034
"nu20102007001","02-Sep-15 08:49:29","02-Sep-15 09:49:11",3578.00,78.6144,2.19716,1141.79,-298.660
"nu20102008001","02-Sep-15 10:26:14","02-Sep-15 11:25:56",3580.00,80.4977,2.24854,1146.71,-298.660
"nu20110101001","01-Sep-15 02:11:30","01-Sep-15 02:13:39",130.000,21.2736,16.3643,-18.4358,1247.49
"nu20110102001","01-Sep-15 02:14:34","01-Sep-15 02:17:27",174.000,14.4868,8.32575,428.940,824.695
"nu20110103001","01-Sep-15 02:18:24","01-Sep-15 02:21:20",176.000,2.30340,1.30875,849.276,384.694
"nu20110105001","01-Sep-15 02:26:04","01-Sep-15 02:26:08",5.00000,0.0643677,1.28735,908.271,-254.414
"nu20110107001","01-Sep-15 02:34:10","01-Sep-15 02:36:39",149.990,6.07822,4.05242,38.1007,401.901
"nu20110108001","01-Sep-15 02:37:35","01-Sep-15 02:40:27",173.000,14.2832,8.25618,-419.107,814.863
"nu20110109001","01-Sep-15 02:41:24","01-Sep-15 02:44:19",176.000,10.1419,5.76245,-795.198,372.403
"nu20110110001","01-Sep-15 02:45:14","01-Sep-15 02:48:07",174.000,4.64074,2.66709,-365.029,-38.1007
"nu20110111001","01-Sep-15 02:49:04","01-Sep-15 02:51:59",176.000,6.04930,3.43710,84.8047,-416.649
"nu20110112001","01-Sep-15 02:52:54","01-Sep-15 02:55:47",174.000,10.7477,6.17682,534.638,-814.863
"nu20110113001","01-Sep-15 02:56:44","01-Sep-15 02:59:39",176.000,18.1978,10.3396,146.257,-1257.32
"nu20110114001","01-Sep-15 03:00:35","01-Sep-15 03:03:27",173.000,11.1897,6.46801,-301.118,-854.192
